Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price
486,1045,5,4,3,2015,Rural,Good,Yes,661183
487,1404,2,5,2,2001,Urban,Fair,Yes,686693
488,2935,5,1,1,2000,Downtown,Excellent,No,1029440
489,1848,5,5,2,2000,Downtown,Fair,Yes,952813
490,2616,2,4,2,2003,Suburban,Good,No,827386
491,4248,3,3,2,2015,Rural,Fair,Yes,944540
492,1746,5,2,2,2020,Rural,Poor,Yes,572446
493,855,5,5,2,2017,Suburban,Poor,No,570054
494,1817,3,4,1,2017,Urban,Fair,No,728348
495,4781,1,4,2,2012,Rural,Fair,Yes,1033833
496,1749,4,2,1,2016,Suburban,Excellent,No,681902
497,2392,4,2,1,1996,Urban,Fair,Yes,752942
498,4842,3,4,2,2009,Rural,Poor,No,925219
499,4871,6,3,3,1996,Suburban,Excellent,No,1298175
500,1237,5,3,2,1994,Downtown,Good,No,829778
501,4549,5,1,3,1988,Downtown,Fair,Yes,1189109
502,4815,6,3,1,1989,Suburban,Fair,No,1049284
503,2486,4,3,3,1987,Downtown,Excellent,No,1041287
504,1920,6,4,1,1995,Rural,Fair,Yes,643858
505,4799,1,5,1,1983,Suburban,Good,Yes,1156972
506,3921,5,5,3,1981,Urban,Poor,Yes,1118422
507,4461,4,2,1,2006,Suburban,Fair,No,939828
508,3407,4,5,3,1984,Suburban,Excellent,No,1060944
509,1489,1,2,3,2012,Downtown,Fair,Yes,722360
510,4498,5,5,1,2014,Rural,Poor,No,939892
511,609,6,4,3,2006,Urban,Poor,No,579384
512,4549,4,3,3,2024,Rural,Excellent,Yes,1190565
513,4508,2,1,2,2018,Downtown,Good,Yes,1174776
514,658,5,5,1,2013,Rural,Excellent,Yes,656215
515,3949,3,1,1,2007,Urban,Good,No,972730
516,2857,6,4,1,2006,Downtown,Fair,No,1038672
517,2678,3,5,2,2005,Suburban,Poor,Yes,816646
518,1925,1,2,3,2005,Urban,Poor,Yes,644925
519,643,1,2,2,2018,Downtown,Poor,Yes,528118
520,2416,3,1,3,1982,Downtown,Excellent,No,910051
521,2035,6,4,2,1980,Suburban,Good,Yes,809280
522,4782,5,2,3,1990,Rural,Good,Yes,1070227
523,1889,1,3,2,2002,Downtown,Excellent,Yes,957966
524,725,6,1,1,2015,Urban,Good,No,578167
525,2453,5,2,2,2005,Rural,Good,Yes,773848
526,4747,1,5,1,2012,Urban,Good,Yes,1253792
527,2711,5,5,2,2024,Downtown,Excellent,No,1187581
528,3382,4,4,3,1981,Downtown,Poor,No,980244
529,3734,6,2,3,2024,Suburban,Good,No,1060311
530,4831,5,1,3,1996,Suburban,Good,Yes,1181783
531,3401,1,5,1,2010,Urban,Good,Yes,1024213
532,2097,6,2,2,1992,Suburban,Fair,No,665367
533,2477,2,2,3,2002,Suburban,Poor,Yes,635652
534,4635,5,1,3,1982,Downtown,Good,No,1268807
535,2850,4,2,3,1997,Downtown,Fair,Yes,960547
536,4906,4,4,3,1982,Urban,Excellent,Yes,1403495
537,1586,6,5,2,2000,Rural,Poor,Yes,638502
538,1425,3,3,3,1996,Suburban,Good,Yes,690936
539,4461,5,3,2,1991,Downtown,Excellent,Yes,1404776
540,3649,3,4,2,2008,Suburban,Fair,Yes,940595
541,2811,2,5,2,2004,Suburban,Fair,Yes,873190
542,679,2,4,2,1988,Urban,Excellent,No,640750
543,990,4,1,3,1990,Rural,Fair,No,402810
544,1388,4,3,2,2003,Urban,Good,No,676259
545,3973,1,3,3,2018,Suburban,Fair,No,928029
546,3263,6,5,2,2008,Rural,Excellent,No,1052319
547,1786,2,3,2,2020,Downtown,Poor,Yes,743003
548,3414,2,3,2,2021,Urban,Good,No,974583
549,4244,3,5,3,2008,Downtown,Fair,Yes,1251807
550,1624,6,2,3,1996,Rural,Fair,Yes,626521
551,1443,1,1,2,2015,Rural,Poor,No,339714
552,1281,1,3,3,1989,Rural,Excellent,No,546407
553,2626,6,3,2,2020,Suburban,Fair,Yes,837314
554,887,6,3,2,2010,Downtown,Good,No,777124
555,2050,5,5,2,2020,Downtown,Good,No,1048181
556,2460,1,4,2,2003,Downtown,Good,Yes,978889
557,686,1,5,1,2002,Urban,Excellent,Yes,720148
558,4508,3,1,2,1998,Suburban,Poor,No,849776
559,3972,5,4,2,1995,Suburban,Excellent,No,1127653
560,2754,1,4,3,1995,Urban,Good,No,906250
561,2140,1,2,1,1998,Rural,Excellent,No,592369
562,4630,2,3,1,1989,Rural,Poor,Yes,830355
563,2911,3,2,3,2008,Rural,Fair,Yes,720245
564,720,4,2,2,2006,Urban,Excellent,No,676176
565,859,3,1,1,1983,Urban,Excellent,Yes,629578
566,2087,2,3,2,1980,Rural,Fair,No,535474
567,2624,6,1,1,2009,Rural,Fair,No,641083
568,3156,3,2,3,1982,Rural,Good,No,763986
569,2227,3,1,3,1993,Rural,Fair,No,540849
570,723,2,3,3,1987,Downtown,Fair,Yes,623539
571,4493,6,5,1,2003,Rural,Fair,Yes,1109410
572,1348,6,5,2,2020,Rural,Poor,No,548434
573,4993,1,2,2,1994,Urban,Good,No,1100877
574,774,6,4,2,1988,Urban,Poor,No,578974
575,3014,5,4,1,2016,Suburban,Good,No,946423
576,2855,5,5,1,1984,Suburban,Excellent,No,963092
577,3607,4,1,3,2012,Downtown,Fair,Yes,1093935
578,2556,3,1,3,2014,Downtown,Fair,No,841422
579,2919,3,4,3,2000,Rural,Poor,Yes,707792
580,1663,2,1,1,1986,Downtown,Fair,Yes,627305
581,3783,6,4,3,2019,Urban,Poor,No,1054065
582,1180,1,2,3,2011,Rural,Excellent,Yes,590407
583,4007,3,1,3,1997,Rural,Poor,No,711430
584,2368,5,1,1,1994,Downtown,Fair,Yes,878929
585,2637,5,2,3,2015,Downtown,Poor,No,919290
586,4098,1,2,1,2015,Downtown,Good,Yes,1160989
587,4229,3,3,3,2000,Urban,Excellent,No,1199400
588,2571,5,5,1,2004,Urban,Good,No,970049
589,3852,1,1,2,2018,Rural,Fair,No,684800
590,3060,2,2,2,1981,Urban,Fair,Yes,789646
591,4371,3,2,1,1996,Urban,Fair,Yes,1021381
592,3060,1,5,2,2016,Suburban,Poor,No,789946
593,2016,4,5,1,2018,Urban,Poor,No,703006
594,1058,3,3,2,2006,Rural,Fair,Yes,484543
595,1043,3,5,1,2000,Suburban,Good,Yes,635114
596,1013,6,4,2,2018,Rural,Fair,No,540267
597,3830,2,2,2,1985,Downtown,Poor,No,925563
598,1296,4,5,2,2024,Suburban,Fair,No,641486
599,4596,4,5,1,2015,Suburban,Fair,Yes,1138118
600,4123,3,5,1,1987,Downtown,Excellent,No,1281688
601,2160,3,3,3,2021,Rural,Good,Yes,758038
602,4222,5,2,2,1982,Suburban,Fair,No,929836
603,1302,1,1,1,2019,Suburban,Good,Yes,530383
604,1511,3,4,2,1981,Urban,Fair,Yes,681807
605,4886,3,5,2,2019,Suburban,Poor,No,1114118
606,956,3,2,1,1998,Suburban,Good,Yes,555963
607,668,1,4,3,1997,Urban,Poor,Yes,510397
608,3766,2,4,3,1986,Urban,Excellent,Yes,1157504
609,2229,5,4,3,1981,Rural,Fair,No,682926
610,4613,4,2,1,2002,Urban,Good,No,1106044
611,4706,3,1,3,1996,Downtown,Poor,No,1080937
612,1842,3,4,3,1988,Rural,Excellent,Yes,786190
613,2569,5,2,2,1999,Urban,Excellent,Yes,977205
614,1735,5,5,3,1992,Suburban,Good,Yes,872144
615,1789,6,5,1,2000,Rural,Poor,Yes,629833
616,1792,6,1,2,2006,Downtown,Good,No,851727
617,1844,2,1,1,1991,Rural,Good,Yes,505812
618,2491,6,1,2,1985,Downtown,Fair,No,871010
619,2107,4,4,2,1988,Suburban,Fair,Yes,709139
620,3947,1,3,2,1994,Suburban,Fair,Yes,892124
621,4198,5,4,3,2000,Downtown,Fair,No,1250576
622,942,5,4,3,2000,Downtown,Poor,Yes,774583
623,4342,1,2,3,2014,Downtown,Poor,No,1072839
624,1003,2,3,2,2005,Urban,Good,No,592056
625,4060,3,5,1,2024,Suburban,Excellent,No,1113154
626,4701,1,2,3,2024,Suburban,Excellent,No,1141641
627,4293,1,2,2,2017,Suburban,Excellent,Yes,1084463
628,3254,6,2,3,1987,Rural,Poor,No,737601
629,1298,5,4,3,2012,Suburban,Excellent,No,767164
630,1999,3,5,3,1989,Suburban,Fair,Yes,737180
631,4037,3,3,3,2008,Urban,Fair,Yes,1066010
632,2261,1,5,2,1980,Downtown,Excellent,No,938398
633,4642,2,2,3,2022,Downtown,Excellent,No,1341207
634,1250,5,5,1,1995,Urban,Fair,Yes,713277
635,1814,1,3,1,1989,Rural,Good,No,475125
636,1001,1,4,1,1990,Urban,Fair,No,509155
637,893,1,3,2,2003,Downtown,Poor,No,505394
638,2998,4,2,1,2024,Urban,Good,No,936076
639,2319,6,2,3,1983,Rural,Poor,No,587297
640,4098,5,3,2,2013,Urban,Fair,No,1101728
641,4677,4,2,3,1994,Urban,Fair,Yes,1130258
642,796,4,1,3,1993,Downtown,Excellent,Yes,799570
643,3464,5,2,1,2020,Suburban,Good,No,893971
644,3121,3,5,3,2000,Rural,Poor,No,761087
645,3844,6,5,3,1981,Suburban,Fair,No,1057674
646,4524,4,1,3,1988,Downtown,Fair,No,1144303
647,4388,4,1,3,1999,Urban,Poor,Yes,1027339
648,3496,1,2,2,1981,Urban,Excellent,Yes,1013981
649,2135,5,1,2,2000,Rural,Good,No,594751
650,4671,2,3,2,1999,Suburban,Good,Yes,1089605
651,3665,1,2,1,2008,Rural,Excellent,Yes,864756
652,3386,4,5,2,2000,Suburban,Poor,Yes,906664
653,899,4,4,3,2013,Rural,Poor,No,405526
654,1313,3,4,1,1986,Urban,Poor,No,519889
655,3228,2,2,2,1997,Urban,Excellent,Yes,1003997
656,1823,2,3,1,1980,Rural,Fair,No,450879
657,2820,2,3,3,1995,Suburban,Poor,No,696099
658,4234,1,2,1,2010,Rural,Poor,No,681781
659,1305,4,4,1,2018,Downtown,Good,No,828184
660,2223,6,5,1,2009,Suburban,Poor,No,704683
661,4332,3,4,2,1994,Suburban,Fair,No,1007378
662,3811,2,3,2,2009,Downtown,Poor,Yes,1064498
663,1524,3,4,2,1990,Urban,Good,Yes,804357
664,1443,4,1,2,2015,Rural,Good,No,528570
665,3986,2,5,1,2015,Suburban,Excellent,No,1063428
666,3391,2,5,2,2007,Urban,Fair,Yes,979104
667,4586,1,5,3,2009,Urban,Poor,No,1062661
668,3123,4,1,3,1986,Downtown,Good,No,972893
669,1341,2,2,3,2020,Rural,Fair,Yes,521617
670,4952,3,4,3,2016,Downtown,Fair,Yes,1367537
671,3055,5,3,2,2002,Rural,Poor,No,675893
672,3009,1,3,3,1983,Rural,Good,Yes,776694
673,855,2,4,3,2017,Downtown,Good,No,781394
674,3725,4,5,1,2022,Suburban,Excellent,Yes,1149996
675,3750,3,4,1,1998,Suburban,Fair,Yes,909553
676,728,2,4,3,2007,Suburban,Poor,Yes,502267
677,4335,6,5,2,2019,Suburban,Excellent,No,1299163
678,3751,3,2,1,2007,Rural,Excellent,Yes,966857
679,2805,4,5,3,2003,Rural,Poor,No,747435
680,1527,5,4,3,1985,Suburban,Good,No,759972
681,1240,5,5,1,1995,Downtown,Poor,No,684517
682,3414,5,1,2,2009,Downtown,Good,No,1075887
683,3013,3,2,1,2024,Urban,Good,Yes,956503
684,1985,5,1,3,1998,Rural,Good,No,600039
685,1638,5,1,2,1996,Suburban,Good,No,620189
686,716,6,1,3,1991,Suburban,Excellent,No,594809
687,2740,6,2,2,1991,Rural,Good,Yes,789314
688,1862,4,4,2,1995,Downtown,Fair,Yes,893019
689,1045,6,3,1,1983,Suburban,Excellent,No,682345
690,3068,4,5,1,2004,Downtown,Excellent,No,1147485
691,4945,4,1,2,2008,Downtown,Good,Yes,1288186
692,4952,6,3,2,2019,Urban,Good,No,1294647
693,1405,3,5,2,2009,Suburban,Fair,No,611907
694,3166,5,1,3,1980,Rural,Poor,No,621675
695,4902,1,4,2,1994,Urban,Good,Yes,1186851
696,794,5,1,1,2018,Suburban,Poor,Yes,391852
697,1664,4,5,1,1987,Suburban,Good,No,725684
698,1220,6,4,2,2007,Urban,Good,Yes,798798
699,2871,1,4,2,2001,Rural,Good,No,719616
700,4209,1,4,1,2019,Downtown,Fair,No,1076117
701,1778,5,4,1,2019,Rural,Excellent,No,712948
702,885,1,1,3,1996,Downtown,Poor,No,466835
703,607,1,4,2,1989,Urban,Excellent,Yes,691167
704,4619,4,4,2,1984,Suburban,Poor,No,1017540
705,1592,5,5,2,2001,Urban,Excellent,Yes,927723
706,3592,5,3,1,2009,Urban,Fair,Yes,980595
707,3747,6,2,2,2024,Downtown,Poor,No,1089681
708,1295,6,4,3,1992,Suburban,Poor,Yes,615299
709,2553,4,4,1,2014,Urban,Excellent,No,932936
710,903,3,1,2,1982,Downtown,Poor,Yes,571701
711,4354,6,5,1,2017,Suburban,Poor,Yes,1079088
712,4605,6,1,2,2019,Rural,Fair,Yes,971207
713,2011,6,1,2,1986,Downtown,Fair,Yes,817532
714,1535,4,5,3,1994,Rural,Fair,No,608391
715,3893,3,1,3,2016,Suburban,Good,Yes,973460
716,2020,3,1,1,1997,Suburban,Excellent,Yes,731587
717,1951,4,2,3,1982,Suburban,Poor,No,545772
718,728,4,1,1,1980,Suburban,Poor,No,304915
719,4499,6,2,1,1989,Urban,Excellent,No,1194314
720,2029,5,1,3,1991,Downtown,Poor,No,752798
721,4030,1,5,1,1992,Rural,Poor,No,795074
722,2396,4,2,2,1983,Suburban,Poor,Yes,673002
723,4675,2,2,3,1982,Rural,Good,No,947546
724,4160,3,3,3,2009,Rural,Poor,Yes,880853
725,1894,1,4,3,1987,Rural,Fair,No,540555
726,4032,2,3,1,1987,Urban,Fair,Yes,968919
727,3979,2,4,1,1984,Downtown,Excellent,Yes,1258684
728,1787,2,5,2,1991,Downtown,Good,Yes,947111
729,2190,6,3,2,1992,Urban,Fair,Yes,814568
730,2898,2,1,2,2009,Downtown,Fair,No,838626
731,3017,5,2,3,2019,Suburban,Fair,Yes,913026
732,4874,4,2,3,2010,Downtown,Good,Yes,1388643
733,2620,2,3,2,2017,Suburban,Fair,Yes,783858
734,962,1,4,3,2012,Rural,Excellent,No,595508
735,1402,4,4,1,1985,Rural,Excellent,Yes,646484
736,3536,3,2,3,1985,Rural,Excellent,No,874727
737,4362,5,5,1,2009,Downtown,Fair,No,1231331
738,3634,6,4,3,2020,Rural,Poor,No,898364
739,4949,1,3,2,1997,Suburban,Poor,No,914989
740,4816,6,3,1,1987,Downtown,Good,No,1276877
741,3594,3,2,3,2015,Rural,Fair,Yes,851829
742,2554,5,1,3,2010,Suburban,Fair,No,742360
743,2790,5,4,2,1983,Rural,Good,No,822248
744,4583,5,5,1,2010,Urban,Excellent,No,1288936
745,2142,4,1,1,2005,Suburban,Good,Yes,679724
746,1949,3,1,3,1989,Downtown,Fair,Yes,821452
747,785,3,4,3,2014,Suburban,Excellent,No,694492
748,4236,6,1,2,1992,Rural,Poor,Yes,891527
749,3351,4,5,2,2021,Urban,Excellent,No,1179926
750,3091,5,2,2,1990,Urban,Fair,No,873740
751,2960,1,2,2,1998,Downtown,Fair,Yes,902987
752,2093,2,2,1,1995,Rural,Poor,No,387862
753,4211,3,3,1,1993,Rural,Good,No,885386
754,3654,4,5,1,2014,Urban,Poor,Yes,1028456
755,4691,2,4,2,1989,Rural,Good,No,1032911
756,2974,5,2,3,2008,Urban,Poor,No,804883
757,1742,6,5,1,1999,Rural,Excellent,Yes,838644
758,3527,1,3,1,2018,Suburban,Fair,No,782467
759,784,1,5,2,2023,Rural,Excellent,Yes,639366
760,3203,5,5,3,1983,Urban,Excellent,Yes,1213886
761,3628,4,3,1,1998,Urban,Good,No,1020862
762,1317,2,4,3,2006,Downtown,Good,Yes,887517
763,3993,2,5,3,1985,Suburban,Fair,No,1001993
764,4903,3,1,3,2004,Rural,Poor,No,875360
765,3995,2,5,2,2016,Suburban,Fair,Yes,1047314
766,2971,5,4,1,1999,Urban,Excellent,No,1027823
767,819,1,2,2,1999,Downtown,Poor,No,501032
768,2069,4,2,1,1987,Urban,Excellent,Yes,855621
769,4536,5,4,2,2020,Downtown,Poor,No,1247697
770,743,3,2,3,1983,Suburban,Good,No,473894
771,3527,2,1,2,2003,Downtown,Good,Yes,1051807
772,2989,5,1,3,1992,Suburban,Poor,Yes,769889
773,3190,6,3,2,2023,Urban,Poor,No,897787
774,705,2,5,2,2003,Downtown,Excellent,No,785993
775,1439,2,2,3,1994,Suburban,Poor,No,475612
776,1225,1,2,1,2010,Urban,Good,No,536645
777,4220,5,5,2,1991,Urban,Poor,Yes,1114044
778,1654,6,2,3,1994,Urban,Fair,Yes,743497
779,1243,4,1,1,1981,Downtown,Excellent,Yes,771971
780,1483,1,5,3,1983,Downtown,Poor,No,664107
781,1142,3,1,1,1987,Suburban,Fair,Yes,449866
782,839,1,2,3,1997,Urban,Good,Yes,622474
783,2581,5,5,1,1986,Rural,Fair,Yes,758188
784,2007,5,1,3,1986,Suburban,Excellent,No,752279
785,4201,6,1,1,2002,Downtown,Excellent,Yes,1317748
786,2464,4,1,2,1987,Downtown,Poor,Yes,825467
787,3559,6,3,3,1982,Rural,Good,No,908422
788,3752,3,4,3,1999,Downtown,Fair,No,1119728
789,4105,2,1,2,2023,Urban,Fair,Yes,1016066
790,1461,4,4,3,2022,Rural,Poor,Yes,593793
791,3881,6,5,1,1990,Rural,Good,Yes,1053930
792,2240,5,4,1,1994,Downtown,Excellent,No,1022179
793,3878,3,4,3,2018,Downtown,Excellent,No,1282026
794,4324,1,1,2,2011,Downtown,Fair,Yes,1047875
795,1415,6,1,1,2011,Rural,Fair,No,460029
796,1851,3,5,3,1986,Rural,Excellent,No,741862
797,3004,6,4,2,2012,Urban,Good,Yes,1057921
798,4125,1,4,2,2000,Downtown,Excellent,No,1201641
799,869,2,5,3,1999,Suburban,Excellent,No,661232
800,3159,6,4,2,1987,Downtown,Excellent,No,1186742
801,4750,1,4,2,2011,Downtown,Good,No,1272756
802,1103,1,5,1,1988,Urban,Good,Yes,674064
803,3717,1,4,2,2002,Downtown,Good,Yes,1152176
804,2628,2,3,3,1985,Rural,Good,Yes,756109
805,1990,1,5,2,1982,Downtown,Excellent,No,935696
806,767,6,4,3,1981,Urban,Excellent,No,784475
807,1400,4,1,3,2023,Suburban,Good,No,655298
808,3381,2,5,2,2003,Downtown,Fair,No,1022517
809,4989,2,3,2,1983,Urban,Excellent,Yes,1253858
810,1376,5,3,2,1984,Downtown,Excellent,Yes,939643
811,1228,6,3,3,1999,Downtown,Good,Yes,929964
812,3895,3,5,3,2009,Suburban,Poor,Yes,1034806
813,2344,6,4,2,2020,Downtown,Poor,Yes,985426
814,4388,2,2,1,2023,Urban,Excellent,No,1129426
815,1127,6,2,2,1997,Urban,Fair,No,604565
816,3924,2,1,1,1992,Rural,Fair,No,719018
817,4576,5,4,2,2021,Rural,Fair,Yes,1083264
818,1717,1,3,2,2022,Suburban,Poor,No,471774
819,1053,1,3,3,1999,Rural,Excellent,No,507121
820,3851,6,2,1,1987,Rural,Good,No,858424
821,2550,5,1,2,2001,Downtown,Fair,No,853324
822,1781,1,2,1,1997,Downtown,Excellent,No,760775
823,4617,5,3,3,1987,Urban,Excellent,No,1279954
824,2875,2,3,2,2003,Urban,Poor,Yes,766441
825,2563,3,5,2,1999,Urban,Poor,Yes,862221
826,3782,1,4,2,1999,Rural,Fair,No,783565
827,1912,4,3,3,2006,Rural,Good,Yes,747687
828,4459,6,4,2,2007,Rural,Fair,No,1055121
829,1143,3,4,3,2015,Urban,Excellent,Yes,819363
830,2105,6,4,3,1988,Rural,Excellent,Yes,884673
831,3170,5,1,1,1990,Suburban,Fair,No,743314
832,4298,4,2,2,1991,Urban,Good,Yes,1107272
833,3995,3,2,2,2004,Suburban,Poor,Yes,872852
834,1328,4,2,2,2024,Suburban,Poor,No,511377
835,2731,2,1,2,1990,Rural,Poor,No,512263
836,4648,1,2,3,1993,Suburban,Good,No,1049131
837,3729,2,4,1,2018,Suburban,Good,Yes,1020936
838,2077,4,2,1,1998,Urban,Fair,No,665112
839,3628,5,4,1,1980,Downtown,Fair,No,1082968
840,2338,6,4,3,2007,Urban,Poor,Yes,858910
841,1026,3,2,2,2002,Rural,Poor,No,346101
842,3720,3,4,3,2003,Suburban,Poor,Yes,935916
843,1991,5,4,2,2009,Suburban,Poor,No,697818
844,4146,2,3,1,2000,Rural,Fair,No,806801
845,3553,4,3,2,2019,Urban,Good,No,1028409
846,3184,6,4,1,2015,Downtown,Poor,Yes,1042960
847,1047,2,2,1,2010,Urban,Fair,No,504818
848,1550,4,1,2,2002,Downtown,Excellent,No,810694
849,1812,1,3,1,1993,Urban,Fair,Yes,664821
850,2834,5,5,1,2017,Rural,Fair,No,755200
851,2616,4,1,2,1981,Urban,Poor,No,674283
852,1468,3,2,1,1985,Downtown,Excellent,No,778960
853,647,3,1,3,2019,Downtown,Good,Yes,698119
854,998,6,3,2,1983,Rural,Excellent,Yes,665389
855,2690,2,2,2,1985,Rural,Fair,Yes,636771
856,3896,3,2,1,1999,Downtown,Excellent,No,1129728
857,3541,6,1,2,2012,Suburban,Excellent,No,1027512
858,4502,3,5,3,2007,Rural,Excellent,No,1149416
859,4156,6,4,1,1982,Urban,Excellent,Yes,1245145
860,4657,5,5,1,1998,Downtown,Excellent,Yes,1489266
861,3060,2,2,3,1999,Suburban,Excellent,No,862555
862,1226,1,5,1,2012,Downtown,Excellent,Yes,906873
863,2675,3,3,3,1985,Rural,Poor,No,587209
864,2092,4,1,1,2006,Urban,Good,No,738315
865,2771,3,2,1,1991,Rural,Good,Yes,726653
866,4977,1,1,2,1987,Rural,Fair,No,870179
867,3918,6,5,3,2011,Urban,Good,No,1239779
868,1317,2,2,1,1992,Rural,Poor,Yes,308679
869,2314,4,2,3,1995,Downtown,Fair,Yes,912771
870,4396,2,4,2,1981,Rural,Fair,Yes,956781
871,4573,4,1,2,2017,Suburban,Fair,No,993630
872,1017,3,1,1,2020,Downtown,Excellent,No,723377
873,903,4,4,2,2012,Downtown,Fair,Yes,798381
874,755,4,5,2,2015,Rural,Good,No,578316
875,1557,4,5,3,2002,Downtown,Excellent,Yes,1038111
876,2959,6,2,2,2002,Downtown,Fair,Yes,1039708
877,4437,2,3,3,2004,Downtown,Good,No,1218202
878,2297,3,1,3,2010,Suburban,Fair,Yes,679353
879,4631,1,4,2,1999,Suburban,Fair,Yes,1011471
880,3539,3,3,3,1990,Suburban,Poor,Yes,869222
881,4127,1,5,1,1987,Suburban,Excellent,No,1061221
882,3510,1,5,2,1989,Rural,Poor,No,739467
883,1508,1,5,3,1986,Rural,Poor,Yes,481134
884,2282,3,2,3,1998,Downtown,Excellent,Yes,1007513
885,3579,3,2,1,1992,Downtown,Excellent,Yes,1140309
886,4480,3,3,3,1990,Rural,Good,No,1015796
887,3554,6,2,1,2013,Downtown,Fair,Yes,1120936
888,3986,4,4,3,2023,Urban,Poor,No,1028452
889,681,6,5,1,1985,Urban,Good,No,661083
890,4155,1,4,1,2022,Suburban,Poor,No,882634
891,3893,6,5,2,2000,Urban,Poor,No,1092463
892,1803,6,4,2,2021,Suburban,Excellent,No,893454
893,2216,3,1,1,2014,Urban,Excellent,Yes,870139
894,2925,2,1,3,2015,Urban,Good,Yes,873994
895,828,5,5,2,1995,Urban,Excellent,Yes,805717
896,3655,3,5,2,1987,Rural,Poor,No,787229
897,642,4,3,1,2017,Suburban,Good,No,519584
898,1746,6,4,3,1995,Rural,Good,Yes,778322
899,4321,1,2,3,2007,Downtown,Poor,Yes,1051896
900,4080,2,4,1,2008,Rural,Good,No,943019
901,3834,3,5,2,2020,Downtown,Excellent,No,1318376
902,1934,2,5,1,2011,Downtown,Fair,Yes,860301
903,4330,4,1,3,1990,Urban,Poor,No,929111
904,1590,3,5,2,1982,Suburban,Poor,No,562717
905,3667,3,3,2,1981,Suburban,Fair,No,819091
906,3099,3,2,1,2011,Rural,Poor,No,570210
907,966,4,4,3,1999,Downtown,Good,No,834959
908,1687,2,5,3,2009,Downtown,Excellent,Yes,1036841
909,1331,5,5,2,2004,Suburban,Excellent,No,767600
910,4229,6,3,3,1985,Suburban,Poor,No,960229
911,1297,2,5,3,2016,Rural,Fair,No,571946
912,752,1,5,1,1981,Urban,Fair,Yes,558266
913,1293,5,5,2,2005,Rural,Excellent,Yes,771843
914,4180,2,4,1,2013,Urban,Excellent,No,1127430
915,1539,1,5,1,1998,Suburban,Fair,No,526302
916,1863,3,4,3,1990,Rural,Good,Yes,670496
917,1079,3,4,1,2000,Suburban,Excellent,No,639062
918,3676,1,1,1,1995,Suburban,Excellent,No,835903
919,2806,1,3,2,2015,Downtown,Poor,No,792458
920,3938,6,2,1,1997,Rural,Fair,Yes,891136
921,3932,4,1,3,2012,Suburban,Fair,No,895384
922,2608,5,4,3,2008,Rural,Poor,No,704472
923,1971,1,1,2,1997,Urban,Excellent,No,703881
924,4780,3,1,1,2014,Rural,Good,Yes,1005513
925,1607,2,5,2,2007,Suburban,Good,No,694472
926,4308,3,2,3,2000,Urban,Fair,No,1036511
927,730,6,2,3,1980,Downtown,Poor,Yes,638395
928,3984,5,4,2,2014,Rural,Poor,Yes,951630
929,1611,3,4,3,2002,Downtown,Fair,Yes,841148
930,4390,3,2,2,1980,Suburban,Poor,No,868250
931,2168,1,5,3,1999,Suburban,Fair,No,714539
932,901,3,4,3,2018,Suburban,Poor,Yes,562960
933,1508,3,5,3,2011,Suburban,Fair,Yes,694226
934,1650,6,1,1,1996,Suburban,Good,Yes,636280
935,4965,5,3,3,2015,Downtown,Poor,No,1238522
936,3246,4,4,2,1987,Downtown,Excellent,No,1196667
937,956,6,2,1,1997,Downtown,Excellent,No,759496
938,3810,2,3,1,2016,Rural,Fair,No,750207
939,2647,2,2,2,1999,Rural,Poor,Yes,599325
940,4138,1,5,3,2001,Urban,Fair,Yes,1137082
941,2552,3,1,2,2013,Suburban,Poor,No,571979
942,4257,5,1,1,1983,Rural,Excellent,No,919188
943,1644,1,4,1,1999,Downtown,Poor,Yes,663292
944,1027,3,4,2,1986,Downtown,Fair,Yes,750344
945,3745,4,4,3,2019,Rural,Good,Yes,1059141
946,4837,3,5,1,1986,Rural,Poor,Yes,963742
947,1632,6,5,2,2002,Downtown,Excellent,No,1022209
948,2591,2,1,1,1988,Urban,Excellent,No,790883
949,1792,2,4,2,2018,Urban,Good,No,736299
950,4840,5,2,1,1995,Rural,Excellent,No,1070212
951,2241,6,2,1,2001,Suburban,Excellent,No,823348
952,3349,5,3,2,2001,Suburban,Poor,No,786135
953,4662,2,1,3,1994,Suburban,Excellent,Yes,1128918
954,4538,6,3,3,2004,Suburban,Excellent,Yes,1262491
955,3572,1,1,2,1981,Rural,Fair,No,656665
956,2192,6,5,2,1982,Rural,Fair,Yes,752277
957,2026,2,3,3,1991,Urban,Fair,Yes,737458
958,776,2,3,1,1981,Suburban,Excellent,Yes,572872
959,2322,3,4,1,2003,Urban,Fair,No,727659
960,1570,2,2,1,1992,Downtown,Good,No,728150
961,2603,1,5,3,1992,Urban,Fair,No,824032
962,1036,6,3,1,2012,Downtown,Fair,Yes,795111
963,1131,2,5,2,2021,Urban,Excellent,No,771456
964,3236,6,3,3,2024,Downtown,Excellent,No,1251991
965,3884,6,5,3,1982,Suburban,Fair,Yes,1129635
966,2520,4,2,2,2007,Downtown,Fair,No,870961
967,1294,2,1,2,2008,Urban,Fair,Yes,587011
968,4796,5,3,2,2008,Downtown,Excellent,No,1416990
969,4675,3,3,2,1981,Suburban,Excellent,Yes,1183690
970,1221,3,1,2,2012,Rural,Good,Yes,478143
971,1571,1,3,1,2014,Suburban,Good,Yes,631549
972,2648,3,3,1,2018,Suburban,Good,Yes,838612
